时间(s),关节角度(°),电机电流(A),振动值(mm/s),温度(℃),健康状态,状态编码
30,85.6429,11.5327,0.19581946695993796,0.4667568176344145,严重抖动,0
31,-3.0183,9.996,-1.1834201537990252,-1.900666637829588,平稳,1
32,45.3096,10.5596,-0.2527137430429769,0.04446908132399499,轻微抖动,2
33,158.4829,11.934,-1.024339474648895,-1.9526901242314325,平稳,1
34,-41.0031,19.2626,-0.11345904237716209,-0.0183347985488839,轻微抖动,2
35,124.1551,1.4422,-1.3564161704884026,-1.8308654164055682,平稳,1
36,-116.1218,15.2617,0.6024377888895383,1.0391195281076682,严重抖动,0
37,-57.3107,18.6844,1.021586669622684,1.3071683241420464,严重抖动,0
38,142.3884,8.3948,1.0434053784827655,0.5424700360587644,严重抖动,0
39,-74.4441,7.2446,-1.1210713356013309,-0.9655170752425282,平稳,1
40,-2.0087,2.0936,0.7354103226080229,0.5820851121633583,严重抖动,0
41,-149.7215,14.3184,-1.1225912147014914,-1.586647238465194,平稳,1
42,21.0255,9.0602,1.1137588932746385,1.2279955699619878,严重抖动,0
43,166.3821,8.1225,-1.0723338791228516,-1.7256078669875132,平稳,1
44,8.3152,12.9586,0.21561167035313894,1.3511821764790135,严重抖动,0
45,66.5032,4.0897,-0.5031898187494239,-0.05498604914934078,轻微抖动,2
46,131.783,1.8592,1.4012186937516573,0.9325313880143397,严重抖动,0
47,169.1692,17.0003,-1.4473724908602286,-0.9260376672067854,平稳,1
48,160.1157,17.1433,1.163002976119838,1.4373835802261021,严重抖动,0
49,42.5262,7.8051,-0.8208783257740788,-0.5276483830247963,轻微抖动,2
50,21.9377,17.6564,0.2639438257382423,0.6110398088578255,严重抖动,0
51,145.4971,7.6169,-1.5554865575183108,-0.821614998212431,平稳,1
52,161.8274,3.7944,0.27316442561254906,0.5391357323666099,严重抖动,0
53,48.0243,5.5628,-0.6923978791738462,-0.506625050355485,轻微抖动,2
54,-55.5598,18.039,-1.2770447063689108,-1.8180343478938197,平稳,1
55,-55.7703,7.6048,-0.0008528886008281336,0.18587173508563887,平稳,1
56,13.1726,18.5568,-1.0183275084304826,-0.8978187088857047,平稳,1
57,89.8618,1.579,0.247968207641,0.35513852298829035,严重抖动,0
58,-56.5463,10.0054,0.33534436835466996,0.7870743461951001,严重抖动,0
59,20.7872,12.1442,-0.19428283541458494,0.10583279246599034,轻微抖动,2
60,-178.092,19.5263,-1.3710745600321725,-2.077525619585267,平稳,1
61,-106.1721,19.3919,1.071303603743489,0.6138314402745744,严重抖动,0
62,-64.5688,12.2838,0.8101883743359185,0.5206326949763448,严重抖动,0
63,66.4458,2.6695,-0.1859741630003745,-0.4006735065852286,轻微抖动,2
64,105.9442,3.0273,-1.096145318358699,-2.215218273464091,平稳,1
65,-106.1993,8.2053,1.3353234909869218,0.4982161555999836,严重抖动,0
66,117.0478,4.5417,1.578233946283681,0.47499082581316154,严重抖动,0
67,65.8735,9.587,-0.7859211064703878,0.14724807948418905,轻微抖动,2
68,27.8951,7.7519,0.8790220100276309,1.2437643739646331,严重抖动,0
69,82.9977,14.1806,-0.4010877183097543,-0.16043666466537654,轻微抖动,2
70,-128.4739,4.8863,0.15701188726917384,0.5720874190895437,严重抖动,0
71,-32.7761,15.6658,0.1870379432701219,0.0050627253253261945,轻微抖动,2
72,-56.6913,5.3197,0.41525623393199657,0.4287332323374994,严重抖动,0
73,-143.2034,18.4563,0.5593745477183248,1.0421146616276935,严重抖动,0
74,-142.4711,16.9684,0.579977353298278,0.587480526901524,严重抖动,0
75,103.6044,12.4707,-0.7007741017702863,-0.04886011404043733,轻微抖动,2
76,31.3446,1.6241,-1.2784970352868419,-0.9191499037112554,平稳,1
77,-103.4349,10.7883,-1.4907397078514744,-1.0066245001044876,平稳,1
78,-68.4227,8.549,0.21750307545556097,0.9399826957958681,严重抖动,0
79,31.4833,6.5868,-0.4840731171785164,-0.3902583732995636,轻微抖动,2
80,91.1686,6.1737,0.08621929629281017,0.5242957328353313,严重抖动,0
81,-109.3993,10.6046,1.204580113282006,1.1902433208027756,严重抖动,0
82,175.9424,12.4608,0.46453409186831085,1.0608368551291798,严重抖动,0
83,47.9667,14.9822,1.0280377120255875,1.230474121219849,严重抖动,0
84,-49.2987,1.6503,0.6970755941928644,1.2000896917997945,严重抖动,0
85,-10.4164,4.46,1.7143813385669453,0.5565377711981196,严重抖动,0
86,-101.5117,13.256,0.1242500488879367,-0.26067449553593164,轻微抖动,2
87,-155.8169,8.6997,0.8198818254858311,0.7992792543890738,严重抖动,0
88,-89.737,13.0289,0.047175290964243284,0.3441963714351643,严重抖动,0
89,-28.067,7.7236,0.07541126713611342,-0.0317346293492787,轻微抖动,2
90,-53.4455,8.8431,1.225925970866482,1.0562763208147152,严重抖动,0
91,166.3556,16.0103,-1.316257587153051,-2.215218273464091,平稳,1
92,52.7994,14.1703,0.9852108964921765,0.43053344325110426,严重抖动,0
93,21.8438,10.1402,0.05744291866310496,-0.20542628349754352,轻微抖动,2
94,7.2605,9.1095,0.49651910315391046,0.7593667521335363,严重抖动,0
95,-176.5852,2.001,-1.5114100636136567,-1.551217000484399,平稳,1
96,-36.6165,2.7423,-1.0839525104663004,-2.128797713605781,平稳,1
97,77.5992,12.1931,-0.5564869125283848,-0.3301261107825268,轻微抖动,2
98,107.2762,5.9207,-1.469089874446966,-1.8369130814747496,平稳,1
99,176.1066,15.1237,0.42893514583344083,1.4373835802261021,严重抖动,0
100,-136.678,1.892,-1.370365283118764,-0.7016531173319489,平稳,1
101,6.5737,12.3482,1.680167171267777,0.8960523315012708,严重抖动,0
102,-167.4485,18.0035,1.7882474628347447,1.0106344516515327,严重抖动,0
103,25.6748,13.5801,0.2283111046122577,1.3796829069430931,严重抖动,0
104,-91.6972,3.9895,0.27340085125035185,1.0779414678097468,严重抖动,0
105,137.3894,19.265,-0.9976909277594146,-1.0444915453219583,平稳,1
106,100.7443,3.0326,-0.48309363953619083,-0.23936417272097343,平稳,1
107,74.942,2.2797,0.5296862426285234,1.204300619936835,严重抖动,0
108,115.7447,8.0648,1.3834867709164518,1.299393500196335,严重抖动,0
109,127.5155,11.0135,-1.5062086995819965,-1.6384411327505208,平稳,1
110,166.7652,1.5947,1.22035308083256,0.5798413710246633,严重抖动,0
111,-64.5326,14.764,0.8664576761329712,1.2281677640493758,严重抖动,0
112,-122.6715,4.8703,1.268719011308778,0.5968050976337298,严重抖动,0
113,-132.7518,1.618,-1.1407959888123025,-1.8481787491920596,平稳,1
114,-3.026,2.22,-1.2089203475906065,-1.6170055778720074,平稳,1
115,70.1935,17.3423,-1.1462337784817656,-0.8204096396007133,平稳,1
116,-37.1076,3.5216,-0.4805942827937047,-0.3776047168778512,轻微抖动,2
117,41.9776,12.6459,-0.9009590668069787,-1.7609024368994564,轻微抖动,2
118,-6.8746,1.7743,0.20983612977252908,0.29024744205616,轻微抖动,2
119,-150.6505,8.662,-1.3753302215126217,-1.7810282731132894,平稳,1
120,5.0385,12.1731,0.54887049438166,0.5944100344182385,严重抖动,0
121,55.8034,19.8505,-1.3552002672082741,-0.6421574511379837,平稳,1
122,-34.0883,12.4353,-0.3050651342707267,-0.4650636592631387,轻微抖动,2
123,-145.7059,13.3903,-1.125664747992927,-0.5946005750029374,平稳,1
124,161.49,5.798,-0.06593748917881115,0.14016724989067822,轻微抖动,2
125,20.9305,11.2582,0.19683271969337832,0.7805414068796431,严重抖动,0
126,-115.1962,2.6826,-1.1342436211360551,-1.40837939599452,平稳,1
127,7.8228,7.5104,0.053727658640490415,0.32166503600054414,轻微抖动,2
128,-112.1943,14.8858,-1.1074261987910012,-1.6814740005896391,平稳,1
129,119.1158,17.4276,-1.0402475425639082,-1.360556401724419,平稳,1
130,60.1097,11.9665,1.146250530926958,1.1513848550821604,严重抖动,0
131,-140.7205,13.3597,1.319043897069647,1.4291860980658917,严重抖动,0
132,-65.8095,17.5091,1.0640081840627187,1.1550322389332017,严重抖动,0
133,-8.3896,8.4929,0.264078926102701,1.1676858953549145,严重抖动,0
134,-24.8896,18.0376,0.2937334561013876,0.6553354333377913,严重抖动,0
135,8.3105,13.7318,-0.9277764891520326,-0.4984014781820339,轻微抖动,2
136,107.9212,4.5071,1.6389277850167563,0.7964510969537875,严重抖动,0
137,-87.9678,6.7391,-0.9591535487975679,-0.8766857981607828,平稳,1
138,-126.1066,9.055,0.9615007825296731,0.938380768982892,严重抖动,0
139,-115.7595,6.9332,-1.049366817164871,-1.2704258419832894,平稳,1
140,-19.5153,14.7658,-0.9684754739452187,-1.1401949318912894,平稳,1
141,145.9889,15.6798,-1.4762501937632777,-0.8751099613610479,平稳,1
142,-56.3182,12.726,-0.7799429153430899,0.26550889150138146,轻微抖动,2
143,-19.3132,7.3378,-0.8849496736186216,-0.6505688714067676,轻微抖动,2
144,-55.3242,5.5421,-1.3905290125142267,-1.8774204360321738,平稳,1
145,-121.7649,15.9392,0.16194305057191666,0.7916870605360463,严重抖动,0
146,62.7494,11.1171,-0.18806821864948442,-0.5642578896040683,轻微抖动,2
147,27.0588,10.1077,-1.0353501543522798,-1.3556566972378261,平稳,1
148,117.0723,13.6598,-0.5413218966178945,0.07254193557092839,轻微抖动,2
149,43.0517,13.3538,1.6247760218397063,0.9489211343321129,严重抖动,0
150,178.1519,2.0978,-1.0615596250572694,-1.8744513925253885,平稳,1
151,-70.8209,2.9199,0.7304453842141655,1.345604131648164,严重抖动,0
152,44.6025,11.0138,0.17741204230243882,1.4373835802261021,严重抖动,0
153,-173.0908,5.9365,0.8955042544915934,0.5811041276655101,严重抖动,0
154,17.2654,9.6332,-1.516003476005253,-1.2888662633417767,平稳,1
155,103.2852,6.9927,-0.2172161222814511,-0.52083367156634,轻微抖动,2
156,41.0161,2.2664,0.037684490361018876,0.1356484595973984,轻微抖动,2
157,-54.1068,15.7184,-1.3686765285630302,-1.853287173784578,平稳,1
158,-172.4598,2.5613,-0.8932245709417177,-1.7995469645114988,平稳,1
159,112.2371,13.4731,1.781222243882892,0.8429956805750972,严重抖动,0
160,40.6582,18.9184,-1.1977407924316483,-1.1335680685281662,平稳,1
161,123.1195,14.8413,1.2294048052512936,0.8673376629286181,严重抖动,0
162,-103.1359,10.6112,1.7639969474144064,1.1577038562890443,严重抖动,0
163,-72.8826,11.7354,1.4109796950837985,0.5455904016423453,严重抖动,0
164,-13.8393,1.1773,0.8350806164874358,1.0273738041467295,严重抖动,0
165,-52.0616,15.892,-0.824627360887808,-0.0744961610506945,轻微抖动,2
166,-152.259,2.1125,0.7590191112971825,0.6819472468432479,严重抖动,0
167,-61.8506,9.2464,0.6234458955628678,0.7279700301997446,严重抖动,0
168,155.9208,13.2087,-1.1570080325473475,-1.360034601459606,平稳,1
169,122.3288,8.2928,-0.17057272145208152,0.12896419820514518,轻微抖动,2
170,158.6445,5.9266,-0.9291274927966197,-1.0305333882382137,平稳,1
171,90.495,13.4821,0.9077646125662213,0.4949653399501989,严重抖动,0
172,-90.1634,6.167,-1.4240339028999864,-1.2492198792212938,平稳,1
173,-29.2344,5.943,0.7114975580988315,1.3112488022128836,严重抖动,0
174,23.5189,9.8147,0.9418436795009307,1.270897987734903,严重抖动,0
175,8.4207,3.1806,-1.0070128529070657,-1.427414669654894,平稳,1
176,-150.5789,9.7077,1.3325201584244037,0.39620942183171226,严重抖动,0
177,54.3504,11.3632,1.5763763162723738,1.0467273759686397,严重抖动,0
178,136.0188,17.7121,-0.9964750244792862,-0.8819090188115597,平稳,1
179,-106.6441,10.9433,0.7290606054784636,0.7431283278925587,严重抖动,0
180,141.8363,13.4316,1.288072138517488,1.062971018212265,严重抖动,0
181,174.2797,13.6905,1.4302990472013946,0.7204821963996796,严重抖动,0
182,140.4929,2.5087,-0.9328089777281194,-1.966481305230437,平稳,1
183,-10.3796,16.6111,1.4361421379642334,0.8039493667591491,严重抖动,0
184,-54.7411,9.5567,0.8091751216024784,0.7730379190716332,严重抖动,0
185,-79.4606,13.2148,-0.4955904232486214,0.3326958935986884,轻微抖动,2
186,95.7833,15.9805,-1.4097808144495927,-1.0909682949088422,平稳,1
187,171.6481,3.1037,-0.051143999270582455,-0.4475676963839628,轻微抖动,2
188,147.8773,15.3253,0.9664657209235308,1.1040627890662793,严重抖动,0
189,134.1914,3.139,1.7239396893523988,0.3977904766340959,严重抖动,0
190,35.4087,6.6475,-1.2340152402888118,-1.3554062331107157,平稳,1
191,-83.6004,15.9941,0.4777063774030349,0.9931854507961897,严重抖动,0
192,-19.7114,15.9872,-1.1192137055900235,-0.9981452458012781,平稳,1
193,174.1825,6.1102,-1.1756518828426497,-1.4326952883348003,平稳,1
194,-10.929,9.5588,-1.4912463342181943,-2.05384110556541,平稳,1
195,32.7123,11.2031,-0.14405927492705983,-0.054886907099026376,轻微抖动,2
196,-101.3365,8.5391,1.2099841278603543,0.7268638136383416,严重抖动,0
197,11.3758,17.7174,-1.4462916879445589,-1.1336254665572956,平稳,1
198,-87.0576,13.8175,-0.963949611735852,-0.7639091069267742,平稳,1
199,-87.5901,13.6405,1.689320220959855,0.4616327390339517,轻微抖动,2
200,-31.4369,13.2758,0.16906959479711375,1.0031518358541158,严重抖动,0
201,-138.3345,3.9321,0.6098345338436527,1.2277764138507665,严重抖动,0
202,-18.4129,2.6035,1.2542632723116962,1.4373835802261021,严重抖动,0
203,15.3124,17.3731,-1.3501677786321873,-0.7154129903150647,平稳,1
204,140.2747,1.2339,-0.16962701890087067,-0.5353084109122493,轻微抖动,2
205,-163.8798,15.4762,-0.3270527185863817,-0.29116850301159675,轻微抖动,2
206,124.9702,11.0906,-1.5035742424750516,-0.7019609794881884,平稳,1
207,-67.2457,3.7942,-1.233474838830977,-1.3946821390431818,平稳,1
208,-148.2474,12.5307,-0.29375047874730975,-0.4849703393657504,轻微抖动,2
209,-119.3987,5.6912,-1.049873443531591,-2.0711231303360127,平稳,1
210,-13.8796,14.8855,0.9897705337926581,0.3738972425083134,严重抖动,0
211,-52.7541,9.7109,0.8389647519656237,1.0176839732291545,严重抖动,0
212,150.7445,7.8831,-0.03489818044442273,-0.15537520209669148,轻微抖动,2
213,32.9064,16.3252,0.7225420128933309,0.9178270565519131,严重抖动,0
214,-67.7163,5.8649,-1.4501758234227466,-2.1282654773356717,平稳,1
215,115.1272,7.3347,1.1457439045602378,1.214997525365499,严重抖动,0
216,-155.1494,1.1077,1.0890693016698092,1.3749501785412404,严重抖动,0
217,-142.4145,8.5829,1.5900890032649326,0.798319141901818,严重抖动,0
218,-177.8081,2.9179,-0.45776232120018295,-0.06228081685142496,轻微抖动,2
219,-103.9995,17.4046,-0.7152973909495974,-0.5274605349294633,轻微抖动,2
220,17.633,5.1662,-1.0421051725752153,-1.2697735916522734,平稳,1
221,79.1249,17.4717,-1.3428385838603023,-1.46872559662013,平稳,1
222,137.5172,16.6518,-0.6328861686297849,-0.03587250544924468,轻微抖动,2
223,25.8513,18.2368,1.569655073140553,0.7220267251835258,严重抖动,0
224,135.184,4.4733,1.497849229430749,0.9006128658157355,严重抖动,0
225,179.8078,2.9914,0.692718607439071,1.096501903229141,严重抖动,0
226,-167.0621,8.5,1.4304003724747385,0.4978508954146143,严重抖动,0
227,28.5031,2.6215,0.9185050915406888,1.3179748076263218,严重抖动,0
228,-92.92,18.3103,1.1349021003124264,0.6491051381759255,严重抖动,0
229,-16.2292,6.0778,0.8608847860990492,0.9522345660136743,严重抖动,0
230,-60.4442,7.4943,-1.3761745987904885,-0.8544518888771059,平稳,1
231,38.2128,6.5317,0.3132892338567858,1.1484784276071525,严重抖动,0
232,9.8155,18.222,1.3639309931610535,0.8057182696568642,严重抖动,0
233,-158.1736,14.11,1.2364637992942613,1.174886739009332,严重抖动,0
234,164.8563,11.0635,0.6459063311541281,1.182692870970933,平稳,1
235,110.5076,9.7336,-0.782442272085576,-0.36913068057729004,轻微抖动,2
236,-130.6803,19.9046,-1.5048914710285242,-1.630671526807457,平稳,1
237,71.392,8.5089,-0.9305122715323214,-1.3742797486889977,平稳,1
238,-68.4,5.4088,1.7016819043078268,1.2921665665286763,严重抖动,0
239,102.3915,8.1627,1.6757426343317545,0.6563790338674168,严重抖动,0
240,-88.6244,5.6703,0.29430763265033727,0.620651369735679,严重抖动,0
241,177.2792,8.3401,-1.5554865575183108,-2.037524411284711,平稳,1
242,-126.6559,13.9114,1.2232577386684222,1.1386894546392625,严重抖动,0
243,-62.5182,16.9535,-0.7702832392842922,-0.5063380602098381,轻微抖动,2
244,139.9995,11.3456,1.5623934285508976,0.8324814052391171,严重抖动,0
245,-73.713,17.7104,-0.560539923462146,-0.07107315131352215,轻微抖动,2
246,-13.2143,1.8627,0.9460655658902655,0.5739554640375736,严重抖动,0
247,-49.6165,14.7394,-0.0817104567293656,-0.1512007999781885,轻微抖动,2
248,93.2648,12.583,-0.8615773105672649,-0.977888959521242,平稳,1
249,-58.6927,19.9913,1.382946369458617,0.7004241942202722,严重抖动,0
250,101.0274,12.0917,-0.9541210602214808,-0.8642043358264588,轻微抖动,2
251,-143.0943,10.7632,-0.5972534475038003,-0.096098692013948,轻微抖动,2
252,151.558,14.1973,1.6370363799143344,0.8852510660196444,严重抖动,0
253,-55.6769,7.3766,0.9387025960272659,0.8838839493258346,严重抖动,0
254,160.9526,10.4289,1.787909711923598,0.9867516535310468,严重抖动,0
255,-175.8895,14.3703,1.0535041307260542,0.46181015112398877,严重抖动,0
256,-161.3993,10.5911,-0.7567394277473065,0.46268155756622625,轻微抖动,2
257,-37.2407,3.5026,0.8800690378521859,0.8944921487094805,严重抖动,0
258,-69.5604,7.7062,1.2339982176428896,1.0442801327266669,严重抖动,0
259,-45.3884,18.9445,-0.6754090083431635,-0.5377660901595182,轻微抖动,2
260,-155.6991,10.8553,-1.2507676854816918,-1.330923364685695,平稳,1
261,-55.2513,8.5546,-1.1165116983008494,-0.659997802191936,平稳,1
262,-152.7899,19.077,-0.5883705985406401,0.2146385836847731,轻微抖动,2
263,-82.4053,12.3557,-0.6612572451661138,0.37440860676782994,轻微抖动,2
264,72.4103,13.9221,1.3260015658392705,1.2644902804830007,严重抖动,0
265,-92.8721,14.567,-0.5722261049878243,-0.5203901413412487,轻微抖动,2
266,-51.8504,1.3005,-1.225639017692372,-1.4429121375198366,严重抖动,0
267,138.5872,8.2824,-0.9515203782056506,0.06552894001184324,轻微抖动,2
268,120.1115,10.4892,1.5723908555208421,0.9068222889670089,严重抖动,0
269,-33.2522,9.921,0.029409593037923017,0.6858607488293447,严重抖动,0
270,-86.3148,4.0304,-1.3946833487213317,-1.526843710114989,平稳,1
271,113.0852,14.0176,-0.9822894862111218,-2.039053286060613,平稳,1
272,12.7994,7.7808,-1.259549209171508,-1.2235368701872036,平稳,1
273,158.8035,17.6501,1.4225983264272481,1.1583247986041714,严重抖动,0
274,129.174,13.8619,-1.2006792253586254,-0.5470750068837797,平稳,1
275,-122.2685,13.7993,1.2199477797391838,1.0460281636137903,严重抖动,0
276,-121.9094,2.5875,-0.9368957637529955,-2.1360559552893283,平稳,1
277,-142.0756,5.2249,-1.5104981361535603,-1.5765451853384163,平稳,1
278,-118.1902,10.5021,-0.038849866104840064,-0.6179615728586101,轻微抖动,2
279,-38.9306,18.0178,-1.1343111713182843,-1.046625708405043,平稳,1
280,-155.1435,10.0108,-0.892549069119424,-0.3643405541463078,轻微抖动,2
281,-59.8938,16.0396,0.2600259151689396,0.8652713338799588,严重抖动,0
282,109.2736,18.1337,1.2492645588267237,1.0034492620050588,严重抖动,0
283,-44.8312,16.2725,0.2689425392232143,1.27692999879614,严重抖动,0
284,-176.9891,5.1357,-0.2591310103547655,-0.419755742269436,轻微抖动,2
285,-129.4832,13.752,0.447038594670908,0.6898159948366264,严重抖动,0
286,89.992,18.2563,0.48929123365536925,0.4584080133974085,严重抖动,0
287,-9.3884,14.6115,0.7577018827437102,1.1192837027908715,严重抖动,0
288,57.4239,16.1286,-0.988436552793993,-1.8151592284347005,平稳,1
289,-63.1758,6.1207,-0.6395398615793763,0.30955926985688526,轻微抖动,2
290,100.0891,15.4562,-0.7668719550817098,-0.13728438691562883,轻微抖动,2
291,-168.7863,5.932,-0.9919153871788047,-1.7800890326366265,平稳,1
292,143.2509,17.8742,-0.7351909196161424,-0.2001091387991002,轻微抖动,2
293,-155.7879,2.8034,1.7436981176544852,0.8501495622056814,严重抖动,0
294,125.7044,8.7142,0.8775696811096999,0.7121020841467846,严重抖动,0
295,4.1889,1.1016,-1.5554865575183108,-1.835055472532016,平稳,1
296,47.9062,9.9164,0.248272183461032,0.8472796607492109,严重抖动,0
297,1.4414,19.0348,-0.08218330800497088,-0.3222677987944449,轻微抖动,2
298,-164.7568,12.0148,0.27525848126165925,0.6162317214927132,严重抖动,0
299,147.6767,13.1416,-1.5554865575183108,-1.7495167551212396,平稳,1
300,-151.7192,15.0707,1.7128614594667848,1.0284382766869482,严重抖动,0
301,138.45,3.3792,0.053221032273770535,1.4373835802261021,严重抖动,0
302,-23.2583,8.5233,0.48425874507928235,1.246832559521733,严重抖动,0
303,-30.1615,4.1942,0.715854544852625,0.8980560445181528,严重抖动,0
304,-100.9056,1.3899,-0.11720807749089153,-0.3176603024561469,轻微抖动,2
305,74.4032,12.7272,1.414965155835331,0.6003429034291614,严重抖动,0
306,-108.2715,1.8543,-0.903019347364974,-0.9458973852855639,平稳,1
307,56.1798,11.632,1.0041249475163958,1.1922052897984718,严重抖动,0
308,4.6429,17.5225,-0.16111569593997202,-0.23307647952997818,轻微抖动,2
309,-120.4912,17.231,1.5166957302727389,0.462170193306709,严重抖动,0
310,90.6034,12.8461,-1.3036257030761618,-1.1149502350796423,平稳,1
311,161.4611,18.9486,-0.7111430547424922,-0.26307477675407087,轻微抖动,2
312,72.8958,12.6898,0.513001347617873,1.2685446685405972,平稳,1
313,62.7839,15.495,0.8974969848673596,1.1323287094111936,严重抖动,0
314,45.476,6.2909,-0.6936813326362039,0.2182390055119821,轻微抖动,2
315,-12.3543,15.6942,1.2441307449772927,1.2300618990106464,严重抖动,0
316,-24.7995,2.6634,0.20824870049013933,0.830451602208995,严重抖动,0
317,148.6552,7.4556,-0.5560140612527792,0.24629098774832267,轻微抖动,2
318,106.0131,6.2845,-0.1712144481832604,0.30698157654870933,轻微抖动,2
319,158.0387,9.6035,-1.0785147207968375,-1.053377803831722,平稳,1
320,148.7638,4.5985,-0.8124683280865241,0.279967976839346,轻微抖动,2
321,-116.2107,6.5911,-1.5208333140346515,-1.9389511232589092,平稳,1
322,-72.4114,3.0341,0.928232317781716,0.8565468334522877,严重抖动,0
323,65.5751,19.0481,1.3267783929349082,0.6871026334595998,严重抖动,0
324,134.287,10.9397,-1.401269491488694,-1.439363895719109,平稳,1
325,-144.4546,2.4376,0.30673686618053836,1.2039457957567623,严重抖动,0
326,-99.6977,17.5891,1.4994028836220241,0.7651587350729588,严重抖动,0
327,105.6854,1.6038,0.9784896533603558,0.5471297124235432,严重抖动,0
328,176.1954,11.9143,-1.0713881765716404,-1.8292060915634634,平稳,1
329,20.6318,3.9647,1.4133439514618265,0.5395062105546268,严重抖动,0
330,-80.7273,4.8807,-0.8437440624587154,-1.671168445359585,平稳,1
331,-90.082,13.429,-1.2562054751511549,-0.6666872815868375,平稳,1
332,98.486,1.8368,1.4991664579842214,0.8110615043685483,严重抖动,0
333,166.4141,9.4382,-0.8244922605233493,0.1280875737602601,轻微抖动,2
334,168.7229,5.9845,-0.8561057458066872,-0.3001486855690265,轻微抖动,2
335,138.3679,11.6287,-0.6874667158711034,-0.23748569176764733,轻微抖动,2
336,42.9636,9.6337,1.2383214293055684,0.7679138404711711,严重抖动,0
337,-70.3827,4.7638,1.0412099975603115,1.321919617628307,严重抖动,0
338,106.996,14.7604,-0.13899301125985833,-0.4828361762826657,轻微抖动,2
339,161.3706,6.7874,-1.0243732497400095,-0.9942160898072371,平稳,1
340,-48.9194,11.7581,1.239030706218977,0.3918471716178771,严重抖动,0
341,-132.4925,10.7505,-1.3704666083921082,-1.8873972570953963,平稳,1
342,-79.2915,7.308,-1.2452623456299994,-1.5487958472556673,平稳,1
343,69.77,11.5025,0.7150777177569874,1.0365627068100847,严重抖动,0
344,-118.3338,16.7198,0.2043645650119515,0.32950769398068114,严重抖动,0
345,-129.2013,11.3661,-1.088917448860158,-1.7826249819236173,平稳,1
346,-167.4219,19.8054,-1.1708220448132505,-1.8868754568305834,平稳,1
347,174.6628,15.5921,-0.9872544246049794,-0.8043329734418282,平稳,1
348,52.15,1.4471,0.0009034161371351939,-0.4979840379701838,轻微抖动,2
349,-10.458,10.3524,-1.0860465661154104,-1.6614733964393615,平稳,1
350,4.1899,2.1591,-0.8587402029136321,0.2165431546513403,轻微抖动,2
351,69.2476,5.4333,1.5327726736433256,0.5551289104831248,轻微抖动,2
352,-163.8011,14.9489,0.5546122598711554,0.4362419381481569,严重抖动,0
353,-175.0743,2.5504,-0.4283104417481842,-0.4255894692300442,轻微抖动,2
354,0.1003,2.3185,-0.5534809294191785,0.28287962231700214,轻微抖动,2
355,-73.5033,1.0211,1.5346303036546327,0.7691870331173145,严重抖动,0
356,-179.9889,14.5306,-1.1500841388688388,-0.6903300515855093,平稳,1
357,17.5942,8.2196,1.3316420060554217,1.4373835802261021,严重抖动,0
358,-69.9322,8.6514,0.01573068113647848,-0.24604321611057836,轻微抖动,2
359,42.9022,4.5462,0.7871537621957085,0.6217106242732487,严重抖动,0
360,-109.3515,3.3854,-1.3286868206832523,-1.2553249423196045,平稳,1
