时间(s),关节角度(°),电机电流(A),振动值(mm/s),温度(℃),健康状态
61,-106.1721,19.3919,7.8773,74.2171,严重抖动
62,-64.5688,12.2838,7.1042,72.431,严重抖动
63,66.4458,2.6695,4.1548,54.7747,轻微抖动
64,105.9442,3.0273,1.46,20.0,平稳
65,-106.1993,8.2053,8.659,72.0014,严重抖动
66,117.0478,4.5417,9.3782,71.5563,严重抖动
67,65.8735,9.587,2.3785,65.2753,轻微抖动
68,27.8951,7.7519,7.308,86.2894,严重抖动
69,82.9977,14.1806,3.5179,59.3787,轻微抖动
70,-128.4739,4.8863,5.1703,73.4171,严重抖动
71,-32.7761,15.6658,5.2592,62.5504,轻微抖动
72,-56.6913,5.3197,5.9349,70.6698,严重抖动
73,-143.2034,18.4563,6.3616,82.4249,严重抖动
74,-142.4711,16.9684,6.4226,73.7121,严重抖动
75,103.6044,12.4707,2.6306,61.517,轻微抖动
76,31.3446,1.6241,0.9201,44.8384,平稳
77,-103.4349,10.7883,0.2917,43.162,平稳
78,-68.4227,8.549,5.3494,80.4676,严重抖动
79,31.4833,6.5868,3.2722,54.9743,轻微抖动
80,91.1686,6.1737,4.9607,72.5012,严重抖动
81,-109.3993,10.6046,8.2719,85.2637,严重抖动
82,175.9424,12.4608,6.0808,82.7837,严重抖动
83,47.9667,14.9822,7.7492,86.0347,严重抖动
84,-49.2987,1.6503,6.7693,85.4524,严重抖动
85,-10.4164,4.46,9.7813,73.1191,严重抖动
86,-101.5117,13.256,5.0733,57.4577,轻微抖动
87,-155.8169,8.6997,7.1329,77.7711,严重抖动
88,-89.737,13.0289,4.8451,69.0497,严重抖动
89,-28.067,7.7236,4.9287,61.8452,轻微抖动
90,-53.4455,8.8431,8.3351,82.6963,严重抖动
91,166.3556,16.0103,0.8083,20.0,平稳
92,52.7994,14.1703,7.6224,70.7043,严重抖动
93,21.8438,10.1402,4.8755,58.5165,轻微抖动
94,7.2605,9.1095,6.1755,77.0062,严重抖动
95,-176.5852,2.001,0.2305,32.7252,平稳
96,-36.6165,2.7423,1.4961,21.6562,平稳
97,77.5992,12.1931,3.0578,56.1267,轻微抖动
98,107.2762,5.9207,0.3558,27.25,平稳
99,176.1066,15.1237,5.9754,90.0,严重抖动
100,-136.678,1.892,0.6481,49.0066,平稳
101,6.5737,12.3482,9.68,79.6257,严重抖动
102,-167.4485,18.0035,10.0,81.8216,严重抖动
103,25.6748,13.5801,5.3814,88.8942,严重抖动
104,-91.6972,3.9895,5.5149,83.1115,严重抖动
105,137.3894,19.265,1.7515,42.4363,平稳
106,100.7443,3.0326,3.2751,57.8661,平稳
107,74.942,2.2797,6.2737,85.5331,严重抖动
108,115.7447,8.0648,8.8016,87.3555,严重抖动
109,127.5155,11.0135,0.2459,31.0536,平稳
110,166.7652,1.5947,8.3186,73.5657,严重抖动
111,-64.5326,14.764,7.2708,85.9905,严重抖动
112,-122.6715,4.8703,8.4618,73.8908,严重抖动
113,-132.7518,1.618,1.3278,27.0341,平稳
114,-3.026,2.22,1.1261,31.4644,平稳
115,70.1935,17.3423,1.3117,46.7307,平稳
116,-37.1076,3.5216,3.2825,55.2168,轻微抖动
117,41.9776,12.6459,2.0379,28.7067,轻微抖动
118,-6.8746,1.7743,5.3267,68.0158,轻微抖动
119,-150.6505,8.662,0.6334,28.321,平稳
120,5.0385,12.1731,6.3305,73.8449,严重抖动
121,55.8034,19.8505,0.693,50.1468,平稳
122,-34.0883,12.4353,3.8022,53.5407,轻微抖动
123,-145.7059,13.3903,1.3726,51.0582,平稳
124,161.49,5.798,4.5102,65.1396,轻微抖动
125,20.9305,11.2582,5.2882,77.412,严重抖动
126,-115.1962,2.6826,1.3472,35.4626,平稳
127,7.8228,7.5104,4.8645,68.6179,轻微抖动
128,-112.1943,14.8858,1.4266,30.2289,平稳
129,119.1158,17.4276,1.6255,36.3791,平稳
130,60.1097,11.9665,8.0992,84.519,严重抖动
131,-140.7205,13.3597,8.6108,89.8429,严重抖动
132,-65.8095,17.5091,7.8557,84.5889,严重抖动
133,-8.3896,8.4929,5.4873,84.8314,严重抖动
134,-24.8896,18.0376,5.5751,75.0125,严重抖动
135,8.3105,13.7318,1.9585,52.9018,轻微抖动
136,107.9212,4.5071,9.5579,77.7169,严重抖动
137,-87.9678,6.7391,1.8656,45.6522,平稳
138,-126.1066,9.055,7.5522,80.4369,严重抖动
139,-115.7595,6.9332,1.5985,38.1064,平稳
140,-19.5153,14.7658,1.838,40.6022,平稳
141,145.9889,15.6798,0.3346,45.6824,平稳
142,-56.3182,12.726,2.3962,67.5417,轻微抖动
143,-19.3132,7.3378,2.0853,49.9856,轻微抖动
144,-55.3242,5.5421,0.5884,26.4737,平稳
145,-121.7649,15.9392,5.1849,77.6256,严重抖动
146,62.7494,11.1171,4.1486,51.6397,轻微抖动
147,27.0588,10.1077,1.64,36.473,平稳
148,117.0723,13.6598,3.1027,63.8436,轻微抖动
149,43.0517,13.3538,9.516,80.6389,严重抖动
150,178.1519,2.0978,1.5624,26.5306,平稳
151,-70.8209,2.9199,6.8681,88.2411,严重抖动
152,44.6025,11.0138,5.2307,90.0,严重抖动
153,-173.0908,5.9365,7.3568,73.5899,严重抖动
154,17.2654,9.6332,0.2169,37.753,平稳
155,103.2852,6.9927,4.0623,52.4719,轻微抖动
156,41.0161,2.2664,4.817,65.053,轻微抖动
157,-54.1068,15.7184,0.6531,26.9362,平稳
158,-172.4598,2.5613,2.0608,27.9661,平稳
159,112.2371,13.4731,9.9792,78.6089,严重抖动
160,40.6582,18.9184,1.1592,40.7292,平稳
161,123.1195,14.8413,8.3454,79.0754,严重抖动
162,-103.1359,10.6112,9.9282,84.6401,严重抖动
163,-72.8826,11.7354,8.883,72.9093,严重抖动
164,-13.8393,1.1773,7.1779,82.1424,严重抖动
165,-52.0616,15.892,2.2639,61.0257,轻微抖动
166,-152.259,2.1125,6.9527,75.5225,严重抖动
167,-61.8506,9.2464,6.5513,76.4045,严重抖动
168,155.9208,13.2087,1.2798,36.3891,平稳
169,122.3288,8.2928,4.2004,64.9249,轻微抖动
170,158.6445,5.9266,1.9545,42.7038,平稳
171,90.495,13.4821,7.3931,71.9391,严重抖动
172,-90.1634,6.167,0.4892,38.5128,平稳
173,-29.2344,5.943,6.812,87.5827,严重抖动
174,23.5189,9.8147,7.494,86.8094,严重抖动
175,8.4207,3.1806,1.7239,35.0978,平稳
176,-150.5789,9.7077,8.6507,70.0465,严重抖动
177,54.3504,11.3632,9.3727,82.5133,严重抖动
178,136.0188,17.7121,1.7551,45.5521,平稳
179,-106.6441,10.9433,6.864,76.695,严重抖动
180,141.8363,13.4316,8.5191,82.8246,严重抖动
181,174.2797,13.6905,8.9402,76.261,严重抖动
182,140.4929,2.5087,1.9436,24.7669,平稳
183,-10.3796,16.6111,8.9575,77.8606,严重抖动
184,-54.7411,9.5567,7.1012,77.2682,严重抖动
185,-79.4606,13.2148,3.2381,68.8293,轻微抖动
186,95.7833,15.9805,0.5314,41.5456,平稳
187,171.6481,3.1037,4.554,53.876,轻微抖动
188,147.8773,15.3253,7.5669,83.6121,严重抖动
189,134.1914,3.139,9.8096,70.0768,严重抖动
190,35.4087,6.6475,1.0518,36.4778,平稳
191,-83.6004,15.9941,6.1198,81.4872,严重抖动
192,-19.7114,15.9872,1.3917,43.3245,平稳
193,174.1825,6.1102,1.2246,34.9966,平稳
194,-10.929,9.5588,0.2902,23.0927,平稳
195,32.7123,11.2031,4.2789,61.4015,轻微抖动
196,-101.3365,8.5391,8.2879,76.3833,严重抖动
197,11.3758,17.7174,0.4233,40.7281,平稳
198,-87.0576,13.8175,1.8514,47.8135,平稳
199,-87.5901,13.6405,9.7071,71.3003,轻微抖动
200,-31.4369,13.2758,5.206,81.6782,严重抖动
201,-138.3345,3.9321,6.511,85.983,严重抖动
202,-18.4129,2.6035,8.419,90.0,严重抖动
203,15.3124,17.3731,0.7079,48.7429,平稳
204,140.2747,1.2339,4.2032,52.1945,轻微抖动
205,-163.8798,15.4762,3.7371,56.8733,轻微抖动
206,124.9702,11.0906,0.2537,49.0007,平稳
207,-67.2457,3.7942,1.0534,35.7251,平稳
208,-148.2474,12.5307,3.8357,53.1592,轻微抖动
209,-119.3987,5.6912,1.597,22.7615,平稳
210,-13.8796,14.8855,7.6359,69.6189,严重抖动
211,-52.7541,9.7109,7.1894,81.9567,严重抖动
212,150.7445,7.8831,4.6021,59.4757,轻微抖动
213,32.9064,16.3252,6.8447,80.043,严重抖动
214,-67.7163,5.8649,0.4118,21.6664,平稳
215,115.1272,7.3347,8.0977,85.7381,严重抖动
216,-155.1494,1.1077,7.9299,88.8035,严重抖动
217,-142.4145,8.5829,9.4133,77.7527,严重抖动
218,-177.8081,2.9179,3.3501,61.2598,轻微抖动
219,-103.9995,17.4046,2.5876,52.3449,轻微抖动
220,17.633,5.1662,1.62,38.1189,平稳
221,79.1249,17.4717,0.7296,34.3061,平稳
222,137.5172,16.6518,2.8316,61.7659,轻微抖动
223,25.8513,18.2368,9.3528,76.2906,严重抖动
224,135.184,4.4733,9.1402,79.7131,严重抖动
225,179.8078,2.9914,6.7564,83.4672,严重抖动
226,-167.0621,8.5,8.9405,71.9944,严重抖动
227,28.5031,2.6215,7.4249,87.7116,严重抖动
228,-92.92,18.3103,8.0656,74.8931,严重抖动
229,-16.2292,6.0778,7.2543,80.7024,严重抖动
230,-60.4442,7.4943,0.6309,46.0783,平稳
231,38.2128,6.5317,5.633,84.4633,严重抖动
232,9.8155,18.222,8.7437,77.8945,严重抖动
233,-158.1736,14.11,8.3663,84.9694,严重抖动
234,164.8563,11.0635,6.6178,85.119,平稳
235,110.5076,9.7336,2.3888,55.3792,轻微抖动
236,-130.6803,19.9046,0.2498,31.2025,平稳
237,71.392,8.5089,1.9504,36.1161,平稳
238,-68.4,5.4088,9.7437,87.217,严重抖动
239,102.3915,8.1627,9.6669,75.0325,严重抖动
240,-88.6244,5.6703,5.5768,74.3478,严重抖动
241,177.2792,8.3401,0.1,23.4054,平稳
242,-126.6559,13.9114,8.3272,84.2757,严重抖动
243,-62.5182,16.9535,2.4248,52.7497,轻微抖动
244,139.9995,11.3456,9.3313,78.4074,严重抖动
245,-73.713,17.7104,3.0458,61.0913,轻微抖动
246,-13.2143,1.8627,7.5065,73.4529,严重抖动
247,-49.6165,14.7394,4.4635,59.5557,轻微抖动
248,93.2648,12.583,2.1545,43.7127,平稳
249,-58.6927,19.9913,8.8,75.8766,严重抖动
250,101.0274,12.0917,1.8805,45.8914,轻微抖动
251,-143.0943,10.7632,2.9371,60.6117,轻微抖动
252,151.558,14.1973,9.5523,79.4187,严重抖动
253,-55.6769,7.3766,7.4847,79.3925,严重抖动
254,160.9526,10.4289,9.999,81.3639,严重抖动
255,-175.8895,14.3703,7.8246,71.3037,严重抖动
256,-161.3993,10.5911,2.4649,71.3204,轻微抖动
257,-37.2407,3.5026,7.3111,79.5958,严重抖动
258,-69.5604,7.7062,8.359,82.4664,严重抖动
259,-45.3884,18.9445,2.7057,52.1474,轻微抖动
260,-155.6991,10.8553,1.0022,36.947,平稳
261,-55.2513,8.5546,1.3997,49.8049,平稳
262,-152.7899,19.077,2.9634,66.5668,轻微抖动
263,-82.4053,12.3557,2.7476,69.6287,轻微抖动
264,72.4103,13.9221,8.6314,86.6866,严重抖动
265,-92.8721,14.567,3.0112,52.4804,轻微抖动
266,-51.8504,1.3005,1.0766,34.8008,严重抖动
267,138.5872,8.2824,1.8882,63.7092,轻微抖动
268,120.1115,10.4892,9.3609,79.8321,严重抖动
269,-33.2522,9.921,4.7925,75.5975,严重抖动
270,-86.3148,4.0304,0.5761,33.1923,平稳
271,113.0852,14.0176,1.7971,23.3761,平稳
272,12.7994,7.7808,0.9762,39.005,平稳
273,158.8035,17.6501,8.9174,84.652,严重抖动
274,129.174,13.8619,1.1505,51.969,平稳
275,-122.2685,13.7993,8.3174,82.4999,严重抖动
276,-121.9094,2.5875,1.9315,21.5171,平稳
277,-142.0756,5.2249,0.2332,32.2398,平稳
278,-118.1902,10.5021,4.5904,50.6105,轻微抖动
279,-38.9306,18.0178,1.347,42.3954,平稳
280,-155.1435,10.0108,2.0628,55.471,轻微抖动
281,-59.8938,16.0396,5.4753,79.0358,严重抖动
282,109.2736,18.1337,8.4042,81.6839,严重抖动
283,-44.8312,16.2725,5.5017,86.925,严重抖动
284,-176.9891,5.1357,3.9382,54.409,轻微抖动
285,-129.4832,13.752,6.029,75.6733,严重抖动
286,89.992,18.2563,6.1541,71.2385,严重抖动
287,-9.3884,14.6115,6.9488,83.9038,严重抖动
288,57.4239,16.1286,1.7789,27.6669,平稳
289,-63.1758,6.1207,2.8119,68.3859,轻微抖动
290,100.0891,15.4562,2.4349,59.8224,轻微抖动
291,-168.7863,5.932,1.7686,28.339,平稳
292,143.2509,17.8742,2.5287,58.6184,轻微抖动
293,-155.7879,2.8034,9.8681,78.746,严重抖动
294,125.7044,8.7142,7.3037,76.1004,严重抖动
295,4.1889,1.1016,0.1,27.2856,平稳
296,47.9062,9.9164,5.4405,78.691,严重抖动
297,1.4414,19.0348,4.4621,56.2773,轻微抖动
298,-164.7568,12.0148,5.5204,74.2631,严重抖动
299,147.6767,13.1416,0.1,28.9249,平稳
300,-151.7192,15.0707,9.7768,82.1628,严重抖动
301,138.45,3.3792,4.863,90.0,严重抖动
302,-23.2583,8.5233,6.1392,86.3482,严重抖动
303,-30.1615,4.1942,6.8249,79.6641,严重抖动
304,-100.9056,1.3899,4.3584,56.3656,轻微抖动
305,74.4032,12.7272,8.8948,73.9586,严重抖动
306,-108.2715,1.8543,2.0318,44.3258,平稳
307,56.1798,11.632,7.6784,85.3013,严重抖动
308,4.6429,17.5225,4.2284,57.9866,轻微抖动
309,-120.4912,17.231,9.196,71.3106,严重抖动
310,90.6034,12.8461,0.8457,41.086,平稳
311,161.4611,18.9486,2.5999,57.4117,轻微抖动
312,72.8958,12.6898,6.2243,86.7643,平稳
313,62.7839,15.495,7.3627,84.1538,严重抖动
314,45.476,6.2909,2.6516,66.6358,轻微抖动
315,-12.3543,15.6942,8.389,86.0268,严重抖动
316,-24.7995,2.6634,5.322,78.3685,严重抖动
317,148.6552,7.4556,3.0592,67.1734,轻微抖动
318,106.0131,6.2845,4.1985,68.3365,轻微抖动
319,158.0387,9.6035,1.5122,42.266,平稳
320,148.7638,4.5985,2.2999,67.8188,轻微抖动
321,-116.2107,6.5911,0.2026,25.2945,平稳
322,-72.4114,3.0341,7.4537,78.8686,严重抖动
323,65.5751,19.0481,8.6337,75.6213,严重抖动
324,134.287,10.9397,0.5566,34.8688,平稳
325,-144.4546,2.4376,5.6136,85.5263,严重抖动
326,-99.6977,17.5891,9.1448,77.1172,严重抖动
327,105.6854,1.6038,7.6025,72.9388,严重抖动
328,176.1954,11.9143,1.5333,27.3977,平稳
329,20.6318,3.9647,8.89,72.7927,严重抖动
330,-80.7273,4.8807,2.2073,30.4264,平稳
331,-90.082,13.429,0.9861,49.6767,平稳
332,98.486,1.8368,9.1441,77.9969,严重抖动
333,166.4141,9.4382,2.2643,64.9081,轻微抖动
334,168.7229,5.9845,2.1707,56.7012,轻微抖动
335,138.3679,11.6287,2.67,57.9021,轻微抖动
336,42.9636,9.6337,8.3718,77.17,严重抖动
337,-70.3827,4.7638,7.7882,87.7872,严重抖动
338,106.996,14.7604,4.2939,53.2001,轻微抖动
339,161.3706,6.7874,1.6725,43.3998,平稳
340,-48.9194,11.7581,8.3739,69.9629,严重抖动
341,-132.4925,10.7505,0.6478,26.2825,平稳
342,-79.2915,7.308,1.0185,32.7716,平稳
343,69.77,11.5025,6.8226,82.3185,严重抖动
344,-118.3338,16.7198,5.3105,68.7682,严重抖动
345,-129.2013,11.3661,1.4814,28.2904,平稳
346,-167.4219,19.8054,1.2389,26.2925,平稳
347,174.6628,15.5921,1.7824,47.0388,平稳
348,52.15,1.4471,4.7081,52.9098,轻微抖动
349,-10.458,10.3524,1.4899,30.6122,平稳
350,4.1899,2.1591,2.1629,66.6033,轻微抖动
351,69.2476,5.4333,9.2436,73.0921,轻微抖动
352,-163.8011,14.9489,6.3475,70.8137,严重抖动
353,-175.0743,2.5504,3.4373,54.2972,轻微抖动
354,0.1003,2.3185,3.0667,67.8746,轻微抖动
355,-73.5033,1.0211,9.2491,77.1944,严重抖动
356,-179.9889,14.5306,1.3003,49.2236,平稳
357,17.5942,8.2196,8.6481,90.0,严重抖动
358,-69.9322,8.6514,4.752,57.7381,轻微抖动
359,42.9022,4.5462,7.036,74.3681,严重抖动
360,-109.3515,3.3854,0.7715,38.3958,平稳
361,-142.026,12.1262,4.6664,61.1174,轻微抖动
362,-89.1677,6.8476,6.4135,76.5208,严重抖动
363,-48.6639,13.1783,6.244,84.7852,严重抖动
364,-37.4626,15.3688,0.102,43.9491,平稳
365,179.1898,9.5831,0.464,43.7843,平稳
366,-8.1302,12.4343,8.236,86.0319,严重抖动
367,14.5004,2.5063,5.6236,82.4135,严重抖动
368,-125.4796,9.2227,5.3865,82.3571,严重抖动
369,-8.338,12.9718,9.6422,73.3351,严重抖动
370,135.0481,19.4479,8.3428,74.6946,严重抖动
371,62.0102,10.1443,1.0255,49.1772,平稳
372,51.8244,8.2381,7.9808,85.9327,严重抖动
373,107.922,11.5391,2.3069,52.7929,轻微抖动
374,37.5694,15.5102,2.0252,64.2346,轻微抖动
375,4.2147,10.1826,1.8185,33.9568,平稳
376,20.8345,19.236,1.0534,27.8268,平稳
377,32.1173,9.6313,1.0028,27.7551,严重抖动
378,-158.7219,14.1238,9.9989,77.4283,严重抖动
379,55.0703,12.0128,3.1599,65.9745,轻微抖动
380,-161.649,12.7331,5.5386,85.8907,严重抖动
381,-22.6615,12.9272,2.0918,60.009,轻微抖动
382,82.8876,10.3075,6.7487,77.3886,严重抖动
383,111.7686,6.1804,6.31,71.8371,严重抖动
384,47.8089,15.6095,4.8782,70.2587,轻微抖动
385,-155.1047,16.7225,2.3903,64.4077,轻微抖动
386,88.1052,8.8357,2.6293,52.9512,轻微抖动
387,148.3055,2.1576,2.0038,54.3281,轻微抖动
388,-49.807,3.3821,0.8696,42.4777,平稳
389,31.7137,7.0055,2.602,62.2626,轻微抖动
390,-62.1285,4.1278,6.0001,77.8458,严重抖动
391,119.3547,4.3692,4.2292,53.0404,轻微抖动
392,112.2718,1.2634,7.3804,76.5756,平稳
393,58.6898,13.9023,7.9852,86.7918,严重抖动
394,-162.2805,5.3905,9.1296,90.0,严重抖动
395,171.562,13.2664,7.4433,70.6614,严重抖动
396,82.5515,11.9262,7.6436,73.1839,严重抖动
397,88.2773,5.4123,2.0101,52.6428,轻微抖动
398,-44.3965,7.4456,7.4698,83.3448,严重抖动
399,-71.1121,17.3153,1.3773,36.5173,平稳
400,65.7146,7.3007,8.6755,72.2871,严重抖动
401,73.8147,15.0976,6.8203,71.9884,严重抖动
402,-51.4108,7.5377,1.5634,20.8092,平稳
403,-55.7939,2.0399,3.2759,61.7551,轻微抖动
404,-155.6623,14.7566,9.0156,79.8535,严重抖动
405,-57.152,9.4395,6.2299,69.6296,严重抖动
406,175.2825,15.3368,8.6838,80.5891,严重抖动
407,-177.4864,8.6661,2.6189,56.8436,轻微抖动
408,-112.6353,11.5554,0.1,40.4078,平稳
409,-44.2606,8.4731,5.0388,72.5246,严重抖动
410,-123.9216,11.3939,3.303,56.4504,轻微抖动
411,164.0338,19.119,0.865,46.2735,平稳
412,-42.6181,15.7295,1.7931,47.8592,平稳
413,150.353,17.8619,3.4156,63.4404,轻微抖动
414,48.8323,7.7632,6.2513,75.7863,严重抖动
415,36.3404,14.2255,1.2532,32.2307,平稳
416,138.1262,7.5157,2.0155,53.5733,轻微抖动
417,-177.8231,10.1933,0.7905,29.9054,平稳
418,19.4376,11.1566,1.3841,44.018,平稳
419,-27.4428,7.5005,2.7937,51.3035,轻微抖动
420,-49.2281,16.0848,7.4855,73.9645,严重抖动
421,-35.3245,13.8014,7.3756,77.9974,严重抖动
422,-106.5368,6.5463,3.7513,63.3269,轻微抖动
423,9.0178,14.4383,7.0029,83.1168,严重抖动
424,-172.0491,7.8013,2.544,50.7663,轻微抖动
425,-29.4152,6.8788,8.9655,85.6012,严重抖动
426,104.0482,3.263,3.7826,66.8136,轻微抖动
427,73.5607,18.6433,1.8248,40.2354,平稳
428,105.0809,16.4199,2.9872,68.931,轻微抖动
429,79.6076,4.4919,6.9468,83.2146,严重抖动
430,82.0844,16.4498,3.0338,53.1104,轻微抖动
431,-130.7357,2.3247,4.0028,56.3844,轻微抖动
432,19.0134,15.0726,8.5504,79.7085,轻微抖动
433,1.7681,15.6062,4.789,50.9905,轻微抖动
434,-28.1835,1.7585,1.5157,22.2334,平稳
435,-141.6155,7.9692,4.1755,61.6083,轻微抖动
436,-77.3259,12.9846,9.7222,89.4294,严重抖动
437,152.871,2.0683,4.4491,55.1763,轻微抖动
438,27.2395,3.3962,3.8792,61.4148,轻微抖动
439,143.7296,12.8466,6.0514,73.2888,严重抖动
440,-113.7439,15.3726,1.5525,43.3695,平稳
441,96.862,9.0846,3.2514,52.3406,轻微抖动
442,-40.3298,16.7618,8.2008,80.6779,严重抖动
443,-80.796,7.3113,7.3194,88.0242,严重抖动
444,-40.5997,6.3725,7.1679,74.7889,严重抖动
445,-23.5689,17.5211,6.451,70.602,严重抖动
446,-36.0061,2.0904,0.4244,40.8475,平稳
447,-29.0395,14.3209,5.9363,80.2608,严重抖动
448,172.4515,8.994,4.1099,55.4724,轻微抖动
449,131.1719,9.6809,5.193,86.1527,严重抖动
450,-120.1734,7.3219,1.3472,43.1125,平稳
451,-113.6515,1.7479,4.7132,68.9132,轻微抖动
452,-79.67,19.2186,6.1914,85.7251,严重抖动
453,-66.0754,2.6524,1.0163,26.5345,平稳
454,-18.0203,14.1653,5.6874,83.7088,严重抖动
455,-33.9677,4.2141,7.4232,86.9737,严重抖动
456,15.7633,14.2044,10.0,79.6714,严重抖动
457,-118.6335,8.3058,4.886,90.0,严重抖动
458,27.536,7.4993,3.5179,52.4917,轻微抖动
459,168.1087,11.8528,2.3543,58.6095,轻微抖动
460,-146.7182,9.7001,6.0615,81.6915,严重抖动
461,-161.4034,1.9366,3.0536,58.2207,轻微抖动
462,170.9655,8.8112,3.0235,53.4918,轻微抖动
463,-148.1118,13.8606,4.7345,61.8178,轻微抖动
464,73.4513,5.1316,1.1948,39.2614,平稳
465,-65.9145,6.0691,9.6409,87.9246,严重抖动
466,67.4044,6.9438,5.129,74.5994,严重抖动
467,-70.5259,16.4209,0.4413,47.0278,平稳
468,-98.942,13.584,3.1962,52.8878,轻微抖动
469,-81.1203,10.0143,6.2305,83.0885,严重抖动
470,6.7492,1.9721,3.4384,61.9849,轻微抖动
471,-63.7885,5.904,2.2172,53.599,轻微抖动
472,110.8646,15.5875,9.1641,81.216,严重抖动
473,53.8402,17.492,6.4729,78.7139,严重抖动
474,159.4738,12.5971,0.764,26.9425,平稳
475,-171.128,14.2371,2.6433,63.2912,轻微抖动
476,54.0674,19.6672,7.5468,80.5281,严重抖动
477,-160.1634,9.111,0.6037,46.6748,平稳
478,-152.2911,13.7445,5.9918,82.3297,严重抖动
479,-147.1128,15.3763,7.8357,72.0604,严重抖动
480,-173.7006,1.9311,1.9883,31.9586,平稳
481,-81.2834,1.5056,5.539,75.365,严重抖动
482,-134.6003,3.4673,5.638,72.8629,严重抖动
483,-141.9659,16.4442,6.8158,80.6831,严重抖动
484,164.8696,1.635,7.6802,77.5071,严重抖动
485,148.2426,3.7857,2.5144,53.7391,轻微抖动
486,174.2722,6.5527,5.8759,70.0488,严重抖动
487,-71.4287,4.5777,6.7315,83.3847,严重抖动
488,-133.0846,13.2252,1.796,26.795,平稳
489,172.784,19.7264,8.4408,88.096,严重抖动
490,-22.4046,6.897,8.1336,81.6641,严重抖动
491,-155.7775,6.0919,7.7191,86.4088,严重抖动
492,54.8212,8.6987,3.8713,63.4154,轻微抖动
493,171.8777,19.3227,3.0156,66.4214,轻微抖动
494,-43.8064,2.6795,1.664,40.2115,平稳
495,-1.1724,17.016,0.8356,22.487,平稳
496,49.4288,2.3432,4.3604,70.4218,轻微抖动
497,-24.4558,16.1314,3.6776,57.6731,轻微抖动
498,-29.7421,3.7419,6.3406,79.8462,严重抖动
499,84.9727,7.0803,0.9572,21.9009,平稳
500,-128.2046,1.1638,9.5484,81.1655,严重抖动
